eventid,iyear,imonth,iday,provstate,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
2.01E+11,2007,1,5,Assam (State),Sadiya,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,1,6,Jammu and Kashmir (State),Shopian,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,1,8,Assam (State),Unknown,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,1,9,Assam (State),Guwahati,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,1,13,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Al-Mansoorian,Explosives/Bombs/Dynamite
2.01E+11,2007,1,17,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,1,20,Assam (State),Tinsukia,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,1,22,Assam (State),Unknown,Bombing/Explosion,Transportation,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,1,22,Diyala (Governorate),Baqubah,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,1,23,Kashmir (State),Sangam,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,1,23,Jammu and Kashmir (State),Awantipora,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,1,24,Assam (State),Guwahati,Armed Assault,Government (General),United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,1,24,Assam (State),Guwahati,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,1,24,Assam (State),Changsari,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,1,25,Assam (State),Rangiya,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,1,25,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,1,28,Assam (State),Guwahati,Armed Assault,Police,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,2,2,Jammu and Kashmir (State),Kashmir,Armed Assault,Police,Hizbul Mujahideen (HM),Firearms
2.01E+11,2007,2,2,Dhenkanal,,Armed Assault,Government (General),Maoist Communist Center (MCC),Firearms
2.01E+11,2007,2,4,,Panbazar,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,2,5,Jalpaiguri,Kamakhya-Guri,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,2,8,Kashmir,Hajn,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,2,8,Chhattisgarh (State),Unknown,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,2,9,Assam (State),Guwahati,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,2,9,Kashmir,Arigam,Armed Assault,Military,Unknown,Firearms
2.01E+11,2007,2,15,,Biajarpur,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,2,19,,Deewana,Bombing/Explosion,Transportation,Unknown,Incendiary
2.01E+11,2007,2,24,Manipur (State),Unknown,Armed Assault,Police,Unknown,Firearms
2.01E+11,2007,3,14,Sivasagar district,Sonari,Bombing/Explosion,Business,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,3,15,Chhattisgarh (State),Rani Bodli,Armed Assault,Police,Naxalites,Incendiary
2.01E+11,2007,3,16,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,3,19,Assam (State),Unknown,Bombing/Explosion,Business,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,3,30,Jammu and Kashmir (State),Rajouri (District),Armed Assault,Private Citizens & Property,Other,Firearms
2.01E+11,2007,4,1,Diyala (Governorate),Baqubah,Armed Assault,Government (General),Unknown,Firearms
2.01E+11,2007,4,3,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,4,3,Kashmir,Kamrup,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,4,4,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,4,7,Jharkhand,Bermo,Armed Assault,Police,Unknown,Firearms
2.01E+11,2007,4,8,Bihar (State),Unknown,Armed Assault,Transportation,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2007,4,8,Assam (State),Kumarpara,Bombing/Explosion,Religious Figures/Institutions,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,4,9,Tamil Nadu,Senthur,Bombing/Explosion,Private Citizens & Property,Liberation Tigers of Tamil Eelam (LTTE),Explosives/Bombs/Dynamite
2.01E+11,2007,4,11,Jammu and Kashmir (State),Batamaloo,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,4,15,Kashmir,Pulwama (District),Assassination,Private Citizens & Property,Unknown,Melee
2.01E+11,2007,4,17,Assam (State),Guwahati,Hostage Taking (Kidnapping),Government (General),United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,4,26,Delhi (National Capital Territory),New Delhi,Bombing/Explosion,Private Citizens & Property,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.01E+11,2007,5,15,Assam (State),Belbari,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,5,18,,Guwahati,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,5,18,Andhra Pradesh (State),Hyderabad,Bombing/Explosion,Religious Figures/Institutions,Harkatul Jihad-e-Islami,Explosives/Bombs/Dynamite
2.01E+11,2007,5,21,Assam (State),Unknown,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,5,22,Uttar Pradesh state,Gorakhpur,Bombing/Explosion,Private Citizens & Property,Harkatul Jihad-e-Islami,Explosives/Bombs/Dynamite
2.01E+11,2007,5,26,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,5,28,Chattisgarh (State),Kudur,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,5,31,Bihar (State),Satgharwa,Armed Assault,Private Citizens & Property,Unknown,Melee
2.01E+11,2007,6,1,Kashmir (State),Sheeri,Armed Assault,Police,Lashkar-e-Taiba (LeT),Firearms
2.01E+11,2007,6,1,Kashmir (State),Srinigar,Bombing/Explosion,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.01E+11,2007,6,2,North Bengal (State),Binnaguri,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,6,3,Assam (State),Dillai,Armed Assault,Police,Karbi Longri National Liberation Front (KLNLF),Firearms
2.01E+11,2007,6,3,Assam (State),Maibong,Armed Assault,Private Citizens & Property,Dima Halao Daoga (DHD),Firearms
2.01E+11,2007,6,4,Assam (State),Longlai Hasnu,Armed Assault,Government (General),Dima Halao Daoga (DHD),Firearms
2.01E+11,2007,6,4,Kashmir (State),Srinigar,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,6,4,Assam (State),Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Dima Halao Daoga (DHD),Firearms
2.01E+11,2007,6,5,Chhattisgarh (State),Unknown,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,6,5,Chhattisgarh (State),Unknown,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,6,6,Manipur (State),Imphal,Bombing/Explosion,Educational Institution,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,6,7,Kashmir (State),Pulwama ((District)),Assassination,Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,6,7,Kashmir (State),Pulwama ((District)),Assassination,Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,6,7,Manipur (State),Kwakta Awang Leikal,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,6,7,Assam (State),Sonari,Hostage Taking (Kidnapping),Private Citizens & Property,Adivasi National Liberation Army (ANLA),Firearms
2.01E+11,2007,6,8,Assam (State),Haribandi,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,6,8,Imphal (State),Imphal,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,6,8,Jharkhand (State),Patamda,Armed Assault,Government (General),Unknown,Firearms
2.01E+11,2007,6,9,Chhatisgarh (State),Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,6,9,Manipur (State),Moreh,Armed Assault,Business,Kuki National Army (KNA),Firearms
2.01E+11,2007,6,9,Kashmir (State),Srinagar,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,6,9,Manipur (State),Moreh,Facility/Infrastructure Attack,Government (General),Kuki National Army (KNA),Incendiary
2.01E+11,2007,6,9,Manipur (State),Moreh,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,6,11,Kashmir (State),Mola,Unknown,Police,Unknown,Unknown
2.01E+11,2007,6,13,Assam (State),Unknown,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,6,13,Assam (State),Hajo,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,6,15,Assam (State),Unknown,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,6,15,Kashmir (State),Sopore,Armed Assault,Police,Unknown,Firearms
2.01E+11,2007,6,24,Indian-controlled Kashmir,Srinigar,Bombing/Explosion,Police,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.01E+11,2007,7,1,Bihar (State),Guwahati,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,7,5,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,7,9,Kashmir (Region),,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,7,9,Chattisgarh (State),Unknown,Armed Assault,Police,Unknown,Firearms
2.01E+11,2007,7,15,Assam (State),Bilai,Hostage Taking (Kidnapping),Business,Karbi Longri National Liberation Front (KLNLF),Firearms
2.01E+11,2007,7,18,Jharkhand,Gumia,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.01E+11,2007,7,18,Jammu and Kashmir (State),Baltal,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,7,21,Jammu and Kashmir (State),Pahalgam,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,7,26,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,8,5,Assam (State),Sonari,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,8,5,Assam (State),Sibasagar,Bombing/Explosion,Transportation,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,8,5,Jammu and Kashmir (State),Avantipura,Bombing/Explosion,Private Citizens & Property,Other,Explosives/Bombs/Dynamite
2.01E+11,2007,8,10,Assam,Unknown,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2007,8,13,Jammu and Kashmir (State),Bandipora town,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,8,15,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,8,25,Andhra Pradesh (State),Hyderabad,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,8,27,Jammu and Kashmir,Kupwara,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,8,29,Chhattisgarh (Regin),Unknown,Armed Assault,Police,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2007,9,1,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,9,1,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,9,7,Andhra Pradesh (State),Vidyanagar,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.01E+11,2007,9,14,,Karachi,Armed Assault,Transportation,Unknown,Firearms
2.01E+11,2007,9,23,Jharkhand (State),Unknown,Bombing/Explosion,Private Citizens & Property,Naxalites,Explosives/Bombs/Dynamite
2.01E+11,2007,9,23,,Bihar,Armed Assault,Police,Naxalites,Firearms
2.01E+11,2007,9,26,Karbi Anglong,Unknown,Unknown,Private Citizens & Property,Dima Halao Daoga (DHD),Unknown
2.01E+11,2007,9,30,,Unknown,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,10,1,Assam (State),Doodooma,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,10,1,Assam (State),Unknown,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,10,1,Assam (State),Unknown,Bombing/Explosion,Business,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,10,11,Rajasthan (State),Ajmer,Bombing/Explosion,Private Citizens & Property,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.01E+11,2007,10,11,Kashmir (State),Srinagar,Armed Assault,Police,Lashkar-e-Taiba (LeT),Firearms
2.01E+11,2007,10,11,Jammu and Kashmir (State),Dangiwachi,Armed Assault,Military,Lashkar-e-Taiba (LeT),Firearms
2.01E+11,2007,10,14,Punjab (State),Ludhiana,Bombing/Explosion,Business,Babbar Khalsa International (BKI),Explosives/Bombs/Dynamite
2.01E+11,2007,10,27,Jharkhand (State),Chilkhari,Armed Assault,Private Citizens & Property,Naxalites,Firearms
2.01E+11,2007,10,27,Jharkhand (State),Boda,Hostage Taking (Kidnapping),Private Citizens & Property,Naxalites,Firearms
2.01E+11,2007,10,28,Jharkhand (State),Khejuri,Bombing/Explosion,Violent Political Party,Bhumi Uchched Pratirodh Committee (BUPC),Explosives/Bombs/Dynamite
2.01E+11,2007,10,29,Assam (State),Dhansirighat,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,11,1,West Bengal (State),New Delhi,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,11,2,Assam (State),Guwahati,Armed Assault,Police,Dima Halao Daoga (DHD),Firearms
2.01E+11,2007,11,2,Andhra Pradesh (State),Unknown,Armed Assault,Police,Naxalites,Explosives/Bombs/Dynamite
2.01E+11,2007,11,3,Assam (State),Unknown,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2007,11,3,Manipur (State),Sorbung,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,11,3,Manipur (State),Imphal,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,11,4,Jammu and Kashmir (State),Kupwara,Armed Assault,Military,Unknown,Firearms
2.01E+11,2007,11,6,Jammu and Kashmir (State),Patan,Armed Assault,Military,Lashkar-e-Taiba (LeT),Firearms
2.01E+11,2007,11,6,West Bengal (State),Nandigram,Facility/Infrastructure Attack,Terrorists/Non-State Militia,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2007,11,9,Assam (State),Mahmara,Bombing/Explosion,Utilities,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,11,10,West Bengal (State),Maheshpur,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2007,11,11,National Capital Territory of Delhi,New Delhi,Assassination,Terrorists/Non-State Militia,Unknown,Melee
2.01E+11,2007,11,11,Jammu and Kashmir (State),Kudhar Naka Bunjwah,Hostage Taking (Kidnapping),Government (General),Unknown,Firearms
2.01E+11,2007,11,11,Jammu and Kashmir (State),Hubbi,Armed Assault,Private Citizens & Property,Unknown,Melee
2.01E+11,2007,11,12,Karnataka (State),Bijapur,Armed Assault,Police,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2007,11,14,Jammu and Kashmir (State),Srinagar,Assassination,Government (General),Al-Fajr,Firearms
2.01E+11,2007,11,16,Manipur (State),Imphal,Bombing/Explosion,Business,Other,Explosives/Bombs/Dynamite
2.01E+11,2007,11,19,West Bengal (State),Unknown,Assassination,Violent Political Party,Other,Firearms
2.01E+11,2007,11,19,Diyala (Governorate),Baqubah,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,11,20,Diyala (Governorate),Baqubah,Assassination,Government (General),Other,Firearms
2.01E+11,2007,11,20,Bihar (State),Unknown,Bombing/Explosion,Transportation,Other,Explosives/Bombs/Dynamite
2.01E+11,2007,11,20,Jammu and Kashmir (State),Kulgam,Assassination,Private Citizens & Property,Other,Firearms
2.01E+11,2007,11,24,Uttar Pradesh (State),Lucknow,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.01E+11,2007,11,24,Uttar Pradesh (State),Varanasi,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.01E+11,2007,11,24,Uttar Pradesh (State),Faizabad,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.01E+11,2007,11,24,Nagaland (State),Unknown,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,11,25,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,11,25,Assam (State),Tinsukia,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,11,25,Assam (State),Athgaon,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,11,25,Assam (State),Tinsukia,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2007,11,27,Assam (State),Umrangso,Armed Assault,Private Citizens & Property,Black Widows,Firearms
2.01E+11,2007,11,28,Arunachal Pradesh (State),Bordumsa,Bombing/Explosion,Police,Other,Explosives/Bombs/Dynamite
2.01E+11,2007,11,29,Chhattisgarh (State),Dantewada ((District)),Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2007,12,12,Bihar (State),Unknown,Armed Assault,Government (General),Naxalites,Firearms
2.01E+11,2007,12,13,Assam's Golaghat ( District ),Unknown,Bombing/Explosion,Transportation,Adivasi National Liberation Army (ANLA),Explosives/Bombs/Dynamite
2.01E+11,2008,1,1,Uttar Pradesh (State),Rampur,Armed Assault,Police,Lashkar-e-Taiba (LeT),Firearms
2.01E+11,2008,1,1,Bihar (State),Munger Division,Armed Assault,Police,Unknown,Firearms
2.01E+11,2008,1,1,West Bengal (State),Purilia district,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2008,1,1,West Bengal (State),Burdwan district,Armed Assault,Government (General),Unknown,Melee
2.01E+11,2008,1,2,Andhra Pradesh (State),Hyderabad,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.01E+11,2008,1,2,Jharkhand (State),,Armed Assault,Police,Unknown,Firearms
2.01E+11,2008,1,5,Orissa (State),Sambalpur district,Facility/Infrastructure Attack,Government (General),Communist Party of India - Maoist (CPI-Maoist),Incendiary
2.01E+11,2008,1,9,Assam (Province),Rongsal,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2008,1,22,Assam,Srirampur checkgate,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2008,1,22,NC Hills District,Halfong,Hostage Taking (Kidnapping),Transportation,Unknown,Unknown
2.01E+11,2008,1,23,Jammu and Kashmir,Doda District,Hostage Taking (Kidnapping),Police,Unknown,Melee
2.01E+11,2008,1,29,Jammu and Kashmir,Kupwara district,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,Firearms
2.01E+11,2008,1,31,Chhattisgarh,Bijapur District,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,Firearms
2.01E+11,2008,2,2,Haryana (State),Karnal District,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.01E+11,2008,2,15,Orissa (State),Nayagarh District,Armed Assault,Police,Naxalites,Firearms
2.01E+11,2008,2,23,Maniput (District),Saikul Village,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2008,3,1,Assam (State),Guwahati,Assassination,Police,Unknown,Firearms
2.01E+11,2008,3,6,Kashmir and Jammu (Region),Reasi,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2008,3,7,Assam (State),Lakhimpur District,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2008,3,8,,Dohni,Hostage Taking (Kidnapping),Government (General),United Democratic Terai Liberation Front (UDTLF),Unknown
2.01E+11,2008,3,8,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2008,3,8,Manipur (State),,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.01E+11,2008,3,9,Assam (State),Dibrugarh,Assassination,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2008,3,9,Union (Territory),New Delhi,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.01E+11,2008,3,10,Assam (State),Imphal West District,Bombing/Explosion,Government (General),People's Revolutionary Party of Kangleipak (PREPAK),Explosives/Bombs/Dynamite
2.01E+11,2008,3,11,Assam (State),Tinsukia,Bombing/Explosion,Business,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2008,3,12,North West Frontier (Province),Swat Valley,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2008,3,16,Assam (State),Gaurisagar,Bombing/Explosion,Business,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2008,3,15,Assam (State),Murkongselek,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2008,3,16,Manipur (State),T Minou,Unknown,Military,United National Liberation Front (UNLF),Unknown
2.01E+11,2008,3,16,Manipur (State),Sagolmang,Bombing/Explosion,Military,United National Liberation Front (UNLF),Explosives/Bombs/Dynamite
2.01E+11,2008,3,19,Assam (State),Kokrajhar district,Armed Assault,Terrorists/Non-State Militia,Unknown,Firearms
2.01E+11,2008,3,19,Kashmir (State),Srinagar,Bombing/Explosion,Police,Al-Madina,Explosives/Bombs/Dynamite
2.01E+11,2008,3,24,Assam (State),North Cachar Hills District,Armed Assault,Transportation,Black Widows,Firearms
2.01E+11,2008,3,25,Manipur (State),Thoubal district,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2008,3,29,Orissa,Angul District,Armed Assault,Private Citizens & Property,Other,Incendiary
2.01E+11,2008,4,1,Bihar,Aurangabad,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2008,4,1,Jharkhand,Khunti,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Melee
2.01E+11,2008,4,2,Bihar,Aurangabad,Assassination,Government (General),Communist Party of India - Maoist (CPI-Maoist),Unknown
2.01E+11,2008,4,3,Jammu and Kashmir,,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2008,4,3,Jammu and Kashmir,Kupwara,Hostage Taking (Kidnapping),Police,Al-Badr,Melee
2.01E+11,2008,4,4,Bihar,Jamui,Armed Assault,Business,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2008,4,4,Assam,Barama,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.01E+11,2008,4,4,Rajasthan,Udaipur,Hostage Taking (Kidnapping),Violent Political Party,Maoists,Unknown
2.01E+11,2008,4,4,Tripura,Agartala,Armed Assault,Government (General),Unknown,Melee
2.01E+11,2008,4,4,Orissa,Malkangiri,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2008,4,7,Assam,Dibrugarh,Bombing/Explosion,Transportation,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.01E+11,2008,4,8,Jharkhand,Gumla,Armed Assault,Terrorists/Non-State Militia,Maoists,Firearms
2.01E+11,2008,4,8,Manipur,Imphal,Hostage Taking (Kidnapping),Private Citizens & Property,People's Revolutionary Party of Kangleipak (PREPAK),Unknown
2.01E+11,2008,4,9,Orissa,Malkangiri,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2008,4,10,Assam,Karbi Anglong,Bombing/Explosion,Private Citizens & Property,Karbi Longri North Cachar Liberation Front (KLNLF),Explosives/Bombs/Dynamite
2.01E+11,2008,4,10,Bihar,Rohtas,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms
2.01E+11,2008,4,11,Manipur,Tamenglong,Armed Assault,Violent Political Party,National Socialist Council of Nagaland-Khaplang (NSCN-K),Firearms
2.01E+11,2008,4,12,Orissa,Malkangiri,Unknown,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Unknown
2.01E+11,2008,4,13,Bihar,Jamui,Bombing/Explosion,Police,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
2.01E+11,2008,4,13,Assam,Tinsukia,Armed Assault,Military,United Liberation Front of Assam (ULFA),Firearms
2.01E+11,2008,4,13,West Bengal,Midnapore,Hostage Taking (Kidnapping),Government (General),Communist Party of India - Maoist (CPI-Maoist),Unknown
2.01E+11,2008,4,14,Jharkhand,Ranchi,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.01E+11,2008,4,15,Jammu and Kashmir,Rajauri,Hostage Taking (Kidnapping),Private Citizens & Property,Hizbul Mujahideen (HM),Firearms
2.01E+11,2008,4,15,Assam,Karbi Anglong,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
